message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path	infos
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.resource.gif.GifFrameLoader	clear()	5181	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	FIELD	com.bumptech.glide.load.resource.gif.GifFrameLoader	null	current	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.resource.gif.GifFrameLoader	clear()	5267	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	FIELD	com.bumptech.glide.load.resource.gif.GifFrameLoader	null	next	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.resource.gif.GifFrameLoader	clear()	5368	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	FIELD	com.bumptech.glide.load.resource.gif.GifFrameLoader	null	pendingTarget	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.resource.gif.GifFrameLoader	loadNextFrame()	5960	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	FIELD	com.bumptech.glide.load.resource.gif.GifFrameLoader	null	pendingTarget	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.resource.gif.GifFrameLoader	recycleFirstFrame()	6612	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	FIELD	com.bumptech.glide.load.resource.gif.GifFrameLoader	null	firstFrame	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.resource.gif.GifFrameLoader	setNextStartFromFirstFrame()	6876	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	FIELD	com.bumptech.glide.load.resource.gif.GifFrameLoader	null	pendingTarget	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull field resource (line 323) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget	DelayTarget(android.os.Handler,int,long)	9349	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget	onLoadCleared(android.graphics.drawable.Drawable)	9949	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java	FIELD	com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget	null	resource	null	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/resource/gif/GifFrameLoader.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields key (line 24), dataSource (line 25), dataClass (line 26) are initialized along all control-flow paths (remember to check for exceptions or early returns).	com.bumptech.glide.load.engine.GlideException	GlideException(java.lang.String,java.util.List)	1139	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/GlideException.java	null	null	null	null	null	null
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	com.bumptech.glide.load.engine.GlideException	setLoggingDetails(com.bumptech.glide.load.Key,com.bumptech.glide.load.DataSource)	1378	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/GlideException.java	PARAMETER	com.bumptech.glide.load.engine.GlideException	setLoggingDetails(com.bumptech.glide.load.Key,com.bumptech.glide.load.DataSource,java.lang.Class)	dataClass	2	/home/nima/Developer/nullness-benchmarks/glide/library/src/main/java/com/bumptech/glide/load/engine/GlideException.java
